Nome,Profissão,EstadoCivil,Sexo,Distrito,Concelho,Telefone,Morada,CódigoPostal,DataNascimento,Email
Bryan Machado,Técnico de Marketing,Divorciado,Masculino,Vila Real,Sabrosa,995121879,"Largo de Guerreiro, 12
4772-992 Moura",2950-156,30/09/1978,bryan.machado@gmail.com
Júlia Garcia,Médico,Solteiro,Feminino,Coimbra,Arganil,991237482,"Alameda de Moura, 80
4662-154 Lixa",0355-403,31/05/1995,júlia.garcia@gmail.com
Nuno Maia,Estudante,Viúvo,Masculino,Bragança,Bragança,926903446,"Av Miranda, 50
4510-505 Porto",8322-099,17/07/2005,nuno.maia@outlook.com
António Miranda,Arquiteto,Viúvo,Masculino,Viana do Castelo,Valença,938019212,"Rua Pulido Garcia, S/N
2760-295 Barcelos",8218-897,03/05/1992,antónio.miranda@yahoo.com
António Nogueira,Enfermeiro,Viúvo,Masculino,Braga,Vila Nova de Famalicão,995898755,"R. de Moreira, 5
2255-650 Gandra",4645-271,11/09/1972,antónio.nogueira@sapo.pt
Helena Oliveira,Carpinteiro,Casado,Feminino,Braga,Amares,958078641,"Rua Laura Henriques, 99
4625-877 Santa Maria da Feira",8039-169,11/09/1996,helena.oliveira@hotmail.com
Bernardo da Alves,Eletricista,Divorciado,Masculino,Porto,Santo Tirso,961079726,"Rua Paris (Nascente), 44
9184-598 Braga",3694-993,18/10/1986,bernardo.alves@sapo.pt
Mara Freitas,Arquiteto,Divorciado,Feminino,Braga,Vizela,909362923,"Praça Simões, S/N
4943-892 Santana",6960-049,05/12/1979,mara.freitas@yahoo.com
Ricardo Nogueira,Contabilista,Divorciado,Masculino,Porto,Póvoa de Varzim,926824882,"Avenida Vítor Nunes, 4
8286-110 Entroncamento",1290-197,06/11/1966,ricardo.nogueira@outlook.com
Emília Abreu,Analista de Dados,Solteiro,Feminino,Vila Real,Mesão Frio,952083910,"Av de Henriques, 69
8511-800 Fátima",9823-644,23/09/1975,emília.abreu@yahoo.com
Mário Nunes,Engenheiro,Casado,Masculino,Braga,Cabeceiras de Basto,955313534,"Rua Paiva, S/N
4669-430 Funchal",5936-025,05/02/1997,mário.nunes@sapo.pt
Carminho Lourenço-Miranda,Arquiteto,Solteiro,Feminino,Braga,Fafe,906399291,"Alameda Laura Batista, 208
5214-766 Tavira",1394-786,11/04/1998,carminho.lourenço-miranda@yahoo.com
Sebastião Coelho,Médico,Solteiro,Masculino,Braga,Amares,957879143,"Largo Araújo, 23
5716-317 Fiães",5259-827,08/10/1985,sebastião.coelho@outlook.com
Bryan Tavares,Contabilista,Solteiro,Masculino,Castelo Branco,Belmonte,924613336,"Praça Joel Alves, 4
9595-414 Paredes",7635-240,03/04/1970,bryan.tavares@yahoo.com
Paulo Freitas,Programador,Viúvo,Masculino,Porto,Valongo,986558234,"Largo de Lourenço, S/N
3003-776 Peniche",5971-053,28/12/1967,paulo.freitas@sapo.pt
Carolina Tavares,Comerciante,Solteiro,Feminino,Braga,Vila Nova de Famalicão,950046381,"R. Ramos, 994
8805-133 Amarante",9287-103,26/09/2004,carolina.tavares@sapo.pt
Diego Barbosa,Técnico de Marketing,Divorciado,Masculino,Braga,Barcelos,938702624,"Travessa de Alves, 36
3551-375 Ovar",3248-891,12/06/1970,diego.barbosa@yahoo.com
Rúben Mendes,Advogado,Viúvo,Masculino,Braga,Braga,960634254,"Largo do Báltico, 21
1209-958 Castelo Branco",0683-859,11/02/2001,rúben.mendes@hotmail.com
Joaquim Jesus,Aposentado,Viúvo,Masculino,Braga,Amares,924909357,"Av Francisca Carvalho, 346
5520-743 Vila Nova de Famalicão",2414-279,25/06/1949,joaquim.jesus@outlook.com
Valentina Valente-Borges,Técnico de Marketing,Solteiro,Feminino,Évora,Redondo,954185829,"Av Alícia Cunha, S/N
2157-735 Maia",3320-790,13/06/1993,valentina.valente-borges@yahoo.com
Pedro do Lopes,Empregado de Limpeza,Casado,Masculino,Braga,Esposende,993356705,"Largo Leonardo Gonçalves, S/N
6178-096 Póvoa de Varzim",2656-049,25/09/1983,pedro.lopes@hotmail.com
Vítor Simões,Contabilista,Viúvo,Masculino,Braga,Braga,932659943,"Travessa Tavares, 2
8282-478 Macedo de Cavaleiros",0402-434,19/05/1981,vítor.simões@gmail.com
William Vicente,Agricultor,Viúvo,Masculino,Aveiro,Murtosa,971705337,"Praça Rodrigo Pinho, 884
2697-139 Coimbra",1720-920,09/07/1994,william.vicente@outlook.com
Gabriel Costa,Rececionista,Viúvo,Masculino,Lisboa,Vila Franca de Xira,993113501,"Praça de Nascimento, 91
7493-637 Setúbal",2255-713,15/12/1973,gabriel.costa@outlook.com
Brian Faria,Empregado de Limpeza,Divorciado,Masculino,Viana do Castelo,Ponte de Lima,935066522,"Travessa Teixeira, 53
7430-343 Castelo Branco",9203-122,02/05/1985,brian.faria@sapo.pt
Filipa Mota,Motorista,Divorciado,Feminino,Porto,Santo Tirso,988988203,"Av Alice Cruz, 4
1104-682 Amadora",6096-932,07/11/1971,filipa.mota@outlook.com
Diogo Simões,Professor,Casado,Masculino,Braga,Vizela,969284357,"Largo Abreu, 5
5932-841 Torres Vedras",3335-126,19/01/1974,diogo.simões@hotmail.com
Íris da Assunção,Comerciante,Viúvo,Feminino,Aveiro,Anadia,994959625,"Rua dos Aventureiros, 913
6466-616 Estremoz",2124-294,08/08/1979,íris.assunção@gmail.com
Tomé Miranda,Carpinteiro,Viúvo,Masculino,Braga,Barcelos,956734153,"Av de José Serra, 32
1291-628 Macedo de Cavaleiros",0563-246,08/10/1989,tomé.miranda@outlook.com
Clara de Abreu,Empregado de Limpeza,Divorciado,Feminino,Braga,Celorico de Basto,983323848,"Alameda de Morais, 85
7902-553 Oliveira do Bairro",4482-455,07/02/1995,clara.abreu@sapo.pt
Amélia-Lia Martins,Técnico de Marketing,Casado,Feminino,Aveiro,Estarreja,925025237,"Largo Gerais, 11
4268-840 Angra do Heroísmo",0353-257,06/10/1968,amélia-lia.martins@yahoo.com
Gil Paiva,Designer Gráfico,Divorciado,Masculino,Braga,Celorico de Basto,911439765,"Largo Kyara Soares, 35
0056-551 Fiães",9301-056,29/05/1994,gil.paiva@gmail.com
Vera Lopes-Azevedo,Programador,Solteiro,Feminino,Lisboa,Loures,935990840,"Av Fernandes, 35
4611-468 Matosinhos",5635-245,23/10/2000,vera.lopes-azevedo@hotmail.com
Dinis Esteves-Oliveira,Designer Gráfico,Solteiro,Masculino,Braga,Barcelos,998705519,"Largo Castro, S/N
7814-092 Santa Cruz",7525-924,21/01/1969,dinis.esteves-oliveira@yahoo.com
Soraia Borges,Enfermeiro,Viúvo,Feminino,Setúbal,Palmela,915395358,"Avenida da Boavista, 72
7693-820 Peniche",7616-858,25/08/1987,soraia.borges@sapo.pt
Emanuel da Brito,Contabilista,Divorciado,Masculino,Braga,Celorico de Basto,959190244,"Rua Neves, S/N
6926-399 Câmara de Lobos",4945-518,21/12/1991,emanuel.brito@hotmail.com
André de Santos,Estudante,Casado,Masculino,Braga,Barcelos,906975847,"Praça Maria da Luz Ponces de Carvalho, 51
5847-048 Alcobaça",8128-795,27/10/2007,andré.santos@outlook.com
Nelson Barbosa,Comerciante,Casado,Masculino,Braga,Vizela,901811468,"Avenida da Baleia, 4
4589-809 Gafanha da Nazaré",3665-019,31/12/1989,nelson.barbosa@gmail.com
Mauro Neto,Engenheiro,Viúvo,Masculino,Viana do Castelo,Monção,922737251,"Rua de Ferreira, 41
8164-753 Barcelos",2089-740,20/09/1981,mauro.neto@yahoo.com
Gil Pinho-Moreira,Engenheiro,Viúvo,Masculino,Viana do Castelo,Arcos de Valdevez,963438975,"Largo de Nunes, 77
0159-221 Elvas",2579-316,04/09/1970,gil.pinho-moreira@hotmail.com
Mário Matias,Farmacêutico,Divorciado,Masculino,Braga,Fafe,992614518,"Alameda Francisco Miranda, 33
6605-925 Santiago do Cacém",9070-909,01/08/1992,mário.matias@gmail.com
Melissa de Neves,Engenheiro,Solteiro,Feminino,Setúbal,Moita,917534875,"Travessa da Vila Expo, 28
4456-951 Macedo de Cavaleiros",5793-584,14/05/1976,melissa.neves@sapo.pt
Maria Garcia,Técnico de Marketing,Casado,Feminino,Braga,Fafe,902829150,"Largo Neves, 52
8526-250 Albufeira",4718-183,27/09/1997,maria.garcia@gmail.com
Ângelo Correia,Eletricista,Casado,Masculino,Braga,Celorico de Basto,925180507,"Avenida 9 de Abril, 6
1314-126 Santana",6776-293,08/10/1976,ângelo.correia@hotmail.com
Luís do Matos,Farmacêutico,Solteiro,Masculino,Braga,Barcelos,904981520,"Alameda Diego Cruz, 353
7231-122 Lisboa",4241-891,27/11/2003,luís.matos@hotmail.com
David Garcia,Cozinheiro,Solteiro,Masculino,Porto,Porto,918176011,"Alameda de Abreu, 90
9267-896 Paços de Ferreira",5660-975,14/05/1997,david.garcia@hotmail.com
Helena Maia-Batista,Arquiteto,Viúvo,Feminino,Braga,Esposende,952900159,"Alameda Magalhães, 85
6854-480 Almada",2256-617,27/09/1971,helena.maia-batista@sapo.pt
Eduardo Cardoso,Farmacêutico,Solteiro,Masculino,Viseu,Lamego,935123643,"Praça Lúcia Mendes, 3
8986-392 Amadora",9392-294,02/11/1999,eduardo.cardoso@gmail.com
Larissa-Joana Simões,Gestor de Projetos,Divorciado,Feminino,Vila Real,Valpaços,983527135,"Praça Leonardo Garcia, 46
5046-105 Viana do Castelo",1983-604,16/03/1984,larissa-joana.simões@hotmail.com
Patrícia Vaz,Empregado de Limpeza,Solteiro,Feminino,Viseu,Carregal do Sal,997298272,"R. Costa, 30
7524-524 Câmara de Lobos",8288-715,02/01/1975,patrícia.vaz@outlook.com
Carlos Lima-Pinho,Designer Gráfico,Casado,Masculino,Vila Real,Alijó,989535942,"Travessa Machado, 95
8775-635 Seia",0955-835,05/10/2003,carlos.lima-pinho@outlook.com
Diogo Vicente,Rececionista,Viúvo,Masculino,Porto,Santo Tirso,911206299,"Avenida Gaspar, S/N
5049-462 Praia da Vitória",2200-179,05/07/1985,diogo.vicente@gmail.com
Margarida Jesus,Estudante,Casado,Feminino,Braga,Amares,908475819,"Praça Ernesto Veiga de Oliveira, 37
4406-915 Beja",1509-098,04/09/2005,margarida.jesus@hotmail.com
Violeta do Morais,Programador,Divorciado,Feminino,Viana do Castelo,Melgaço,964632076,"Av Joel Vicente, 50
6658-623 Faro",5375-751,13/06/1973,violeta.morais392@outlook.com
Carlota do Brito,Psicólogo,Divorciado,Feminino,Braga,Vila Nova de Famalicão,916421396,"Avenida Alícia Branco, 39
2375-674 Ourém",6320-465,11/02/2003,carlota.brito@sapo.pt
Petra Marques-Amaral,Farmacêutico,Casado,Feminino,Viana do Castelo,Ponte da Barca,966138867,"Rua Benjamim Simões, 54
6788-720 Barcelos",8363-720,06/08/1979,petra.marques-amaral@outlook.com
Luana Abreu,Eletricista,Viúvo,Feminino,Braga,Cabeceiras de Basto,922431151,"Avenida de João Augusto Ribeiro, 4
0748-950 Portalegre",2632-452,07/08/2000,luana.abreu@gmail.com
Naiara Batista,Contabilista,Solteiro,Feminino,Bragança,Mogadouro,937222338,"Travessa Rodrigues, 590
9586-272 Pinhel",1153-349,26/01/1990,naiara.batista@sapo.pt
Ariana Esteves-Mota,Psicólogo,Solteiro,Feminino,Castelo Branco,Fundão,911495738,"Travessa Alexandre Cunha, 3
5946-677 Montijo",3071-422,27/10/1988,ariana.esteves-mota@gmail.com
Marcos Mendes,Cozinheiro,Divorciado,Masculino,Guarda,Trancoso,995654817,"Alameda de Lourenço, 64
2917-673 Santo Tirso",5362-612,13/10/1987,marcos.mendes@sapo.pt
Manuel Costa,Técnico de Marketing,Solteiro,Masculino,Vila Real,Valpaços,974581881,"Avenida Íris Matias, 91
8585-971 Alcácer do Sal",0141-291,30/11/2001,manuel.costa@sapo.pt
Guilherme Monteiro,Empregado de Limpeza,Divorciado,Masculino,Braga,Barcelos,954186227,"Praça Francisca Pires, S/N
7270-062 Amora",1593-596,12/04/1969,guilherme.monteiro@hotmail.com
Violeta Baptista,Rececionista,Viúvo,Feminino,Aveiro,Estarreja,949923252,"Avenida de Baixo, S/N
9059-989 Sines",8900-235,20/05/1986,violeta.baptista@sapo.pt
Wilson Gaspar,Designer Gráfico,Solteiro,Masculino,Braga,Vila Nova de Famalicão,921361680,"Praça de Cláudio Carneiro, S/N
6178-176 Peso da Régua",6660-279,20/12/1979,wilson.gaspar@hotmail.com
Leandro Mota,Contabilista,Viúvo,Masculino,Guarda,Manteigas,923693014,"Alameda das Rolas, S/N
7225-050 Maia",8192-136,12/11/1971,leandro.mota@outlook.com
Luca Nunes,Contabilista,Divorciado,Masculino,Braga,Barcelos,985537290,"Av de 25 de Abril, 516
1079-499 Amora",8326-379,02/06/1994,luca.nunes@gmail.com
Bruno Vicente,Médico,Divorciado,Masculino,Porto,Maia,927186913,"Largo de Vieira, S/N
6941-052 Gafanha da Nazaré",4668-277,09/04/1991,bruno.vicente@outlook.com
Lisandro Azevedo,Farmacêutico,Solteiro,Masculino,Braga,Guimarães,971270136,"Alameda de Fonseca, 87
4738-416 Lagos",7771-480,27/04/1995,lisandro.azevedo@gmail.com
Manuel Faria,Técnico de Marketing,Solteiro,Masculino,Braga,Celorico de Basto,947576042,"Travessa Matias, 482
4067-886 Aveiro",2712-179,10/10/1973,manuel.faria@outlook.com
Erika-Luana Tavares,Arquiteto,Viúvo,Feminino,Porto,Maia,913957160,"Alameda de Brito, S/N
5051-050 Câmara de Lobos",5601-652,13/02/1981,erika-luana.tavares@outlook.com
Luna Vieira,Programador,Divorciado,Feminino,Braga,Vizela,991280898,"Rua Soares, 41
4310-326 Anadia",7557-270,29/10/1994,luna.vieira@outlook.com
Alícia Paiva-Ribeiro,Carpinteiro,Solteiro,Feminino,Braga,Barcelos,974116908,"Largo de Sidónio Pais, 5
4094-478 Barreiro",2749-308,27/07/1987,alícia.paiva-ribeiro@hotmail.com
Alice Sá-Lourenço,Farmacêutico,Viúvo,Feminino,Braga,Braga,999682741,"Av de Amaral, S/N
6232-512 Caniço",2020-153,10/07/1991,alice.sá-lourenço@sapo.pt
Alícia Martins,Psicólogo,Solteiro,Feminino,Vila Real,Valpaços,994396930,"Travessa do Arrabalde, 7
2288-133 Vendas Novas",5875-353,14/11/1984,alícia.martins@gmail.com
David Tavares,Professor,Casado,Masculino,Vila Real,Alijó,967246589,"Avenida de Pires, 97
2277-270 Faro",8194-997,12/11/1990,david.tavares@hotmail.com
Ângelo Miranda,Aposentado,Viúvo,Masculino,Braga,Esposende,987587901,"Rua Torres, 13
4666-528 Caldas da Rainha",3427-395,12/12/1950,ângelo.miranda@outlook.com
Salvador Campos,Programador,Casado,Masculino,Vila Real,Vila Pouca de Aguiar,945977685,"Largo Dinis Monteiro, 73
1853-733 Sintra",9754-489,16/11/1981,salvador.campos@gmail.com
Pedro Amorim,Advogado,Solteiro,Masculino,Porto,Vila Nova de Gaia,923287958,"Praça Débora Lopes, 35
0786-453 Santana",1253-760,18/05/2000,pedro.amorim@outlook.com
Lisandro de Pinheiro,Estudante,Solteiro,Masculino,Braga,Celorico de Basto,954733074,"R. Assunção, 30
0931-821 Paredes",1034-085,03/05/2001,lisandro.pinheiro@sapo.pt
Leandro do Branco,Motorista,Solteiro,Masculino,Vila Real,Boticas,981582412,"Rua de Leite, 7
9020-306 Entroncamento",4837-261,10/08/1991,leandro.branco@gmail.com
Lisandro Moura,Eletricista,Divorciado,Masculino,Braga,Braga,913318608,"Praça Lopes, S/N
7871-562 Vila Real",9964-525,13/07/2003,lisandro.moura@sapo.pt
Camila do Ramos,Motorista,Divorciado,Feminino,Braga,Vila Nova de Famalicão,957849022,"Largo de Santos, 69
6166-784 Angra do Heroísmo",1439-643,05/02/1969,camila.ramos@sapo.pt
Fábio Lourenço,Advogado,Casado,Masculino,Lisboa,Alenquer,969141621,"Largo Amélia Carvalheira, S/N
9878-704 Mangualde",8660-276,16/09/1968,fábio.lourenço@hotmail.com
Xavier Ribeiro-Melo,Comerciante,Solteiro,Masculino,Braga,Esposende,954865201,"R. de Gonçalves, 89
3396-378 Peso da Régua",0113-451,24/05/1992,xavier.ribeiro-melo@hotmail.com
Tomé Martins,Empregado de Limpeza,Divorciado,Masculino,Braga,Cabeceiras de Basto,975702839,"Praça de Costa, 7
6160-835 Santarém",3628-872,20/04/1985,tomé.martins@outlook.com
Francisca Sousa,Enfermeiro,Solteiro,Feminino,Braga,Barcelos,928153057,"R. Ribeirinhos, 47
3164-491 Trofa",4443-025,23/01/1995,francisca.sousa@sapo.pt
Ivo Sousa,Aposentado,Casado,Masculino,Santarém,Abrantes,976053280,"Avenida Ismael Borges, 88
5805-592 Penafiel",6870-663,23/07/1962,ivo.sousa@gmail.com
Beatriz Abreu,Eletricista,Divorciado,Feminino,Braga,Vila Nova de Famalicão,978832505,"R. Vasco Abreu, 29
1044-889 Santana",5097-620,02/03/1978,beatriz.abreu@yahoo.com
Benedita Marques,Estudante,Viúvo,Feminino,Viana do Castelo,Viana do Castelo,971547862,"Rua de Cruz, 6
0823-988 Sintra",2901-161,06/08/2006,benedita.marques@hotmail.com
Lúcia Branco,Contabilista,Divorciado,Feminino,Aveiro,Águeda,944694320,"Praça Azevedo, 54
4371-695 Espinho",5636-745,14/09/1965,lúcia.branco@yahoo.com
Joel Santos,Rececionista,Casado,Masculino,Porto,Matosinhos,958190355,"Travessa Sofia Loureiro, S/N
8446-353 Maia",3112-183,28/01/1972,joel.santos@outlook.com
Lisandro Neto,Designer Gráfico,Viúvo,Masculino,Braga,Esposende,943419285,"Rua de Almeida, 57
9711-892 Coimbra",8312-149,09/12/1993,lisandro.neto@sapo.pt
Jorge Matos,Eletricista,Casado,Masculino,Vila Real,Mesão Frio,938867850,"Av Monteiro, 60
9604-091 Gouveia",1919-990,24/08/2003,jorge.matos@sapo.pt
Vasco Pereira-Almeida,Advogado,Casado,Masculino,Braga,Celorico de Basto,970189318,"Travessa Eva Monteiro, 36
4934-464 Ourém",3899-583,29/06/1987,vasco.pereira-almeida@sapo.pt
Henrique Brito,Contabilista,Divorciado,Masculino,Braga,Cabeceiras de Basto,980932671,"R. Eduarda Nunes, 85
5816-261 Vizela",4902-921,10/06/1986,henrique.brito@hotmail.com
Artur Fonseca,Gestor de Projetos,Viúvo,Masculino,Porto,Amarante,904659048,"Av Coelho, 8
7662-470 Matosinhos",3384-737,16/10/1994,artur.fonseca@yahoo.com
Vasco Maia,Enfermeiro,Solteiro,Masculino,Porto,Porto,972511603,"Rua Nuno Moreira, 57
1955-675 Santa Cruz",9401-039,02/02/1988,vasco.maia@yahoo.com
Tiago de Ribeiro,Rececionista,Casado,Masculino,,,,"R. Petra Gonçalves, 38
4237-350 Santarém",9104-150,26/08/1999,tiago.ribeiro@outlook.com
Luna Pinho,Empregado de Limpeza,Casado,Feminino,Braga,Braga,940434483,"Av do Penalva, S/N
5564-217 Vila Real",8669-794,29/10/2003,luna.pinho@outlook.com
Daniel Magalhães,Técnico de Marketing,Solteiro,Masculino,Braga,Fafe,909701994,"Av Azevedo, S/N
8534-385 Vila Real",4127-179,17/09/1966,daniel.magalhães@sapo.pt
Camila Barbosa,Farmacêutico,Divorciado,Feminino,Braga,Guimarães,965422167,"Travessa de Rocha, S/N
6674-664 Esposende",9310-466,02/10/1965,camila.barbosa@gmail.com
Paulo Baptista,Médico,Divorciado,Masculino,Braga,Amares,990736790,"Rua de Miranda, 962
3939-334 Fundão",8818-677,28/02/1991,paulo.baptista@hotmail.com
Lara Reis,Médico,Viúvo,Feminino,Viana do Castelo,Viana do Castelo,943456505,"Alameda Gomes, 31
9827-599 Tomar",3600-140,21/10/1986,lara.reis@outlook.com
Rafaela Fernandes,Médico,Casado,Feminino,Braga,Celorico de Basto,908475877,"Av Nelson Freitas, 9
2647-838 São João da Madeira",5240-051,03/03/1969,rafaela.fernandes@yahoo.com
Tatiana Araújo,Gestor de Projetos,Divorciado,Feminino,Braga,Celorico de Basto,992969906,"Rua Ferreira, 40
2864-845 Barreiro",4717-855,08/06/2002,tatiana.araújo@hotmail.com
Inês de Mota,Advogado,Viúvo,Feminino,Coimbra,Montemor-o-Velho,980468686,"Largo do Alto de São João, 40
8374-682 Vila Real de Santo António",0993-009,03/12/1969,inês.mota@sapo.pt
Lia Moreira,Analista de Dados,Solteiro,Feminino,Porto,Matosinhos,967448557,"Praça de Abreu, 46
6076-999 Fafe",8329-751,12/03/1994,lia.moreira@outlook.com
Artur Ramos,Carpinteiro,Divorciado,Masculino,Braga,Vizela,909370437,"Avenida Coronel Vítor Alves, S/N
5542-883 Fundão",3076-628,24/03/1973,artur.ramos@gmail.com
Mafalda Macedo,Enfermeiro,Casado,Feminino,Leiria,Marinha Grande,960279658,"Largo do Regado, 5
2187-047 Freamunde",1903-717,13/12/1989,mafalda.macedo@yahoo.com
Tomé Pacheco,Psicólogo,Casado,Masculino,Braga,Fafe,946435206,"Av de Pinho, 65
6592-556 Viana do Castelo",2274-747,02/04/1974,tomé.pacheco@hotmail.com
Alexandre Soares,Motorista,Divorciado,Masculino,Viana do Castelo,Caminha,948276225,"Praça Jorge Assunção, 429
9107-012 Peniche",5789-309,30/06/1998,alexandre.soares@sapo.pt
Salomé Assunção,Eletricista,Viúvo,Feminino,Braga,Celorico de Basto,935886726,"Praça Mélanie Fernandes, 3
3787-193 Vila Nova de Famalicão",8682-169,13/12/1983,salomé.assunção@yahoo.com
Tiago Ramos,Professor,Divorciado,Masculino,Braga,Celorico de Basto,918900480,"Rua Frederico Santos, 81
8700-589 Olhão",9514-367,16/01/1990,tiago.ramos@outlook.com
Bárbara Soares,Psicólogo,Solteiro,Feminino,Vila Real,Sabrosa,910207287,"Alameda de Moura, 7
0496-904 Reguengos de Monsaraz",6315-298,15/02/2001,bárbara.soares@gmail.com
Mélanie de Moura,Empregado de Limpeza,Viúvo,Feminino,Braga,Amares,950205080,"Praça Paiva, 21
3777-032 Funchal",5930-191,31/08/1969,mélanie.moura@outlook.com
Rúben Pacheco,Comerciante,Casado,Masculino,Viana do Castelo,Melgaço,985312142,"Largo Pereira, 70
6720-713 Silves",8571-244,27/10/1977,rúben.pacheco@yahoo.com
Bárbara da Pacheco,Técnico de Marketing,Casado,Feminino,Bragança,Vinhais,913081699,"R. Pinto, 1
4096-286 Santa Comba Dão",5113-233,17/08/1996,bárbara.pacheco@hotmail.com
Manuel Araújo,Engenheiro,Viúvo,Masculino,Braga,Vizela,979158638,"Praça de São Vicente, 61
9225-640 Ovar",6927-333,31/05/1971,manuel.araújo@yahoo.com
Yara da Abreu,Empregado de Limpeza,Solteiro,Feminino,Braga,Amares,912852731,"Rua Igor Mota, 74
8934-584 Guarda",8823-188,12/07/2001,yara.abreu@gmail.com
Ricardo Vaz,Aposentado,Solteiro,Masculino,Braga,Vila Nova de Famalicão,931837986,"Av Santos, 767
6405-543 Lourosa",9337-680,30/03/1951,ricardo.vaz@yahoo.com
Lorena Melo,Contabilista,Divorciado,Feminino,Setúbal,Alcácer do Sal,972841820,"Av Vaz, 81
3198-840 Ourém",5853-729,17/01/1987,lorena.melo@outlook.com
André do Anjos,Analista de Dados,Casado,Masculino,Lisboa,Odivelas,978306362,"R. Erika Silva, 801
6369-866 Olhão",0409-940,10/10/1968,andré.anjos@hotmail.com
Jéssica Valente,Psicólogo,Solteiro,Feminino,Braga,Vila Nova de Famalicão,941247532,"Travessa Magalhães, 8
1573-876 Gondomar",1075-480,14/11/1980,jéssica.valente@yahoo.com
Adriana Nascimento,Eletricista,Divorciado,Feminino,Bragança,Mirandela,968525178,"Largo Noa Nogueira, 32
2453-151 Estremoz",6089-233,29/08/1988,adriana.nascimento@yahoo.com
Alice Andrade,Farmacêutico,Casado,Feminino,Braga,Esposende,954107073,"R. de Lamas, 20
6763-483 Viana do Castelo",2762-729,09/10/1973,alice.andrade@yahoo.com
Sérgio Neves-Pinho,Contabilista,Solteiro,Masculino,Aveiro,Santa Maria da Feira,982082508,"Alameda Lucas Cruz, 77
0252-659 Agualva-Cacém",1571-678,05/03/2005,sérgio.neves-pinho@outlook.com
